Company Name,Company_url,salary,designation_list,location_list,qualification_list
EY,https://in.indeed.com/cmp/Ey?campaignid=mobvjcmp&from=mobviewjob&tk=1giurhbc5jl3a800&fromjk=b5ab02f9ddf4adc2,"₹21,00,000 a year",Golang Developer - Bangalore,"EYMumbai, Maharashtra",NA
Mercedes-Benz Research and Development India Private Limited,https://in.indeed.com/cmp/Mercedes--benz-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1giurhi3tg3lh800&fromjk=a77a813bb12da5f0,NA,"Connected Car Software Backend Developer : JAVA, Kotlin , Go Lang","Mercedes-Benz Research and Development India Private LimitedBengaluru, Karnataka",NA
