Company Name,Company_url,salary,designation_list,location_list,qualification_list
CommScope,https://in.indeed.com/cmp/Commscope?campaignid=mobvjcmp&from=mobviewjob&tk=1gjji6lg629qo000&fromjk=a9a2f84eecbb1401,NA,"Analyst, Identity & Access Management","CommScopeVerna, Goa",NA
CommScope,https://in.indeed.com/cmp/Commscope?campaignid=mobvjcmp&from=mobviewjob&tk=1gjji6t9jj6dj800&fromjk=b690fd4045f9a4be,NA,Sr QA Engineer,"CommScopeBengaluru, Karnataka",NA
Rewoke Technologies,https://in.indeed.com/cmp/Rewoke-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gjji741ji92h800&fromjk=5069f047faa36618,"₹3,00,000 - ₹6,00,000 a year",Python Developer,Rewoke TechnologiesRemoteRemote,Python: 2 years (Preferred)total work: 2 years (Preferred)
Inspironlabs Software Systems Pvt Ltd,https://in.indeed.com/cmp/Inspironlabs-Software-Systems-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjji7c1djtue800&fromjk=75396a373a3ce152,"₹4,11,832 - ₹15,00,000 a year",Python/Django Developer,"Inspironlabs Software Systems Pvt LtdBengaluru, KarnatakaRemote",Python: 4 years (Required)Bachelor's (Preferred)total work: 7 years (Preferred)
Orient Technologies,https://in.indeed.com/cmp/Orient-Technologies-3?campaignid=mobvjcmp&from=mobviewjob&tk=1gjji7j592bjr001&fromjk=b00c565b2a00d6da,"Up to ₹70,000 a month",Python Developer,"Orient TechnologiesMumbai, Maharashtra",NA
